Institutions,For tuition and other educational services,For room rent,For board and other noneducational services,From productive funds,For increase of plant,For current expenses,From United States Government,For increase of plant,For endowment,For current expenses,From all other sources,Total receipts,Total receipts exclusive of additions to endowment
Alabama Polytechnic Institute,118596,4225,21440,62500,275175,293118,,,,73616,848670,848670
Alabama Technical Institute and College for Women,20774,89770,,21324,75000,53750,2281,,83250,30953,14069,276968,276968
University of Alabama,127239,24559,36856,85019,57500,167000,4656,,,35460,21372,558371,558371
University of Arizona,59336,55903,243180,530561,129660,60345,,,,54120,1129562,1129562
University of California,3260,6903,,518734,225741,1365863,,3836850,,86857,996073,996073
University of Colorado,336911,471087,,294715,198669,,1297664,316651,144900,118953,8089615,8752672
Colorado Agricultural College,8000,570500,,79062,,,164802,,,,15467,966672,966672
Colorado School of Mines,19619,141167,,404494,164802,,,878,,130,159385,232578,232578
Connecticut Agricultural College,50513,181187,,46017,,,,,,,,871098,871098
University of Delaware,72110,6750,,185798,276331,125417,71017,,200,2450,17622,474401,474401
University of Florida,83753,22478,,161203,100145,,,,,3509,86408,782232,782232
Florida State College for Women,53025,7428,,66856,9940,108000,254146,532,,25300,56405,325552,325552
University of Georgia,2064,103000,147500,1500,144188,190851,,2750,,,,104673,104673
Georgia School of Technology,42901,335650,,273662,310031,,,,,12500,8180,95200,95200
Medical College of Georgia,6240,121785,,25322,120,,,,,,2000,34000,34000
North Georgia Agricultural College,,75200,2000,,,,,,,,,22262,110600,110600
Georgia State College for Women,8100,,,,,,,,,,,,,318438,318438
University of Hawaii,,,620,7451,,88022,50000,,,,,156355,935452,935452
University of Idaho,7451,12909,,,148503,50000,8799,,10232,,,218573,218573
Idaho Technical Institute,43205,107862,,483313,123039,745,,,,,,325861,325861
Joliet Junior College,9024,19472,,62000,116600,961,,,5948,,,323945,5283857,5283857
University of Illinois,,15000,,620104,,,,,,257,39028,3698356,5365556
Indiana University,32450,311641,,3658877,330872,224629,,,,24440,463354,2101166,2101166
Purdue University,45872,2674,,1060321,4660,165628,,,,6409,592108,3505042,3505042
Iowa State College,1401,17000,,146593,1096195,246555,61871,,,,73799,2313067,2313067
State University of Iowa,234969,61871,39039,380000,1932000,258646,296709,,,,,,10154,10154
Garden City Junior College,17027,428875,,1488103,8494,117,,,,,135855,1968821,1968821
University of Kansas,10037,198380,,11171,490000,1069804,189198,,,,12676,431641,2206053,2206053
Kansas State Agricultural College,25457,1847,40865,10344,105000,609837,285843,,,,,,215811,1347091,1347091